Column1;url;sdg_tag;ISO3166;Location;Service;policy_code;Policy
144;https://europa.eu/youreurope/citizens/vehicles/driving-licence/driving-licence-renewal/index_en.htm;sdg;404;404;information;404;404
145;https://europa.eu/youreurope/citizens/vehicles/driving-licence/get-driving-licence/index_en.htm;sdg;404;404;information;404;404
146;https://europa.eu/youreurope/citizens/vehicles/driving-licence/index_en.htm;sdg;404;404;information;404;404
147;https://europa.eu/youreurope/citizens/vehicles/insurance/accident/index_en.htm;sdg;404;404;information;F1;getting medical treatment in another Member State
148;https://europa.eu/youreurope/citizens/vehicles/insurance/index_en.htm;sdg;404;404;information;404;404
149;https://europa.eu/youreurope/citizens/vehicles/insurance/validity/index_en.htm;sdg;404;404;information;404;404
150;https://europa.eu/youreurope/citizens/vehicles/registration/formalities/index_en.htm;sdg;404;404;information;404;404
151;https://europa.eu/youreurope/citizens/vehicles/registration/index_en.htm;sdg;404;404;information;404;404
152;https://europa.eu/youreurope/citizens/vehicles/registration/registration-abroad/index_en.htm;sdg;404;404;information;404;404
153;https://europa.eu/youreurope/citizens/vehicles/registration/taxes-abroad/index_en.htm;sdg;404;404;information;404;404
154;https://europa.eu/youreurope/citizens/work/professional-qualifications/apply-permanent-provision-services/index_en.htm;sdg;404;404;information;404;404
155;https://europa.eu/youreurope/citizens/work/professional-qualifications/apply-temporary-provision-services/index_en.htm;sdg;404;404;information;404;404
156;https://europa.eu/youreurope/citizens/work/professional-qualifications/brexit/index_en.htm;sdg;404;404;information;404;404
157;https://europa.eu/youreurope/citizens/work/professional-qualifications/european-professional-card/index_en.htm;sdg;404;404;information;404;404
158;https://europa.eu/youreurope/citizens/work/professional-qualifications/european-professional-card-documents/index_en.htm;sdg;404;404;information;404;404
159;https://europa.eu/youreurope/citizens/work/professional-qualifications/index_en.htm;sdg;404;404;information;404;404
160;https://europa.eu/youreurope/citizens/work/professional-qualifications/professional-bodies-language-requirements/index_en.htm;sdg;404;404;information;404;404
161;https://europa.eu/youreurope/citizens/work/professional-qualifications/regulated-professions/index_en.htm;sdg;404;404;information;404;404
162;https://europa.eu/youreurope/citizens/work/retire-abroad/index_en.htm;sdg;404;404;information;404;404
163;https://europa.eu/youreurope/citizens/work/retire-abroad/state-pensions-abroad/index_en.htm;sdg;404;404;information;404;404
164;https://europa.eu/youreurope/citizens/work/retire-abroad/supplementary-pensions-abroad/index_en.htm;sdg;404;404;information;404;404
165;https://europa.eu/youreurope/citizens/work/taxes/double-taxation/index_en.htm;sdg;404;404;information;404;404
166;https://europa.eu/youreurope/citizens/work/taxes/income-taxes-abroad/index_en.htm;sdg;404;404;information;404;404
167;https://europa.eu/youreurope/citizens/work/taxes/index_en.htm;sdg;404;404;information;404;404
168;https://europa.eu/youreurope/citizens/work/unemployment-and-benefits/cannot-find-work-abroad/index_en.htm;sdg;404;404;information;404;404
169;https://europa.eu/youreurope/citizens/work/unemployment-and-benefits/cannot-find-work-abroad/index_en.htm;sdg;404;404;information;404;404
170;https://europa.eu/youreurope/citizens/work/unemployment-and-benefits/country-coverage/index_en.htm;sdg;404;404;information;404;404
171;https://europa.eu/youreurope/citizens/work/unemployment-and-benefits/death-grants/index_en.htm;sdg;404;404;information;404;404
172;https://europa.eu/youreurope/citizens/work/unemployment-and-benefits/family-benefits/index_en.htm;sdg;404;404;information;D4;requirements for residence cards for Union citizens and their family members, including family members who are not Union citizens
